Bird Name,Recording #,Title,Source,URL,Audio URL,Location,Recordist,Quality
Rufous-breasted Accentor,3,Rufous-breasted Accentor - call,Xeno-canto,https://www.xeno-canto.org/916551,https://xeno-canto.org/916551/download,"Mengbishan, Sichuan",Peter Boesman,A
Himalayan Rubythroat,1,Himalayan Rubythroat - song,Xeno-canto,https://www.xeno-canto.org/1008410,https://xeno-canto.org/1008410/download,"Big Almaty lake, Almaty, Karasay District, Almaty Region",Erik Hansson,A
Himalayan Rubythroat,2,Himalayan Rubythroat - song,Xeno-canto,https://www.xeno-canto.org/906027,https://xeno-canto.org/906027/download,Chon Ashu Pass,Arend Wassink,A
Himalayan Rubythroat,3,Himalayan Rubythroat - song,Xeno-canto,https://www.xeno-canto.org/842899,https://xeno-canto.org/842899/download,"Tian Shan Observatory, Karasay District, Almaty Province",Ding Li Yong,A
White-browed Rosefinch,1,Himalayan White-browed Rosefinch - call,Xeno-canto,https://www.xeno-canto.org/810132,https://xeno-canto.org/810132/download,"near Mangengoth, Helambu region",Marc Anderson,A
White-browed Rosefinch,2,Himalayan White-browed Rosefinch - call,Xeno-canto,https://www.xeno-canto.org/547633,https://xeno-canto.org/547633/download,"Lokat Bangus (Little Bangus Valley), Jammu and Kashmir",Andrew Spencer,B
White-browed Rosefinch,3,Himalayan White-browed Rosefinch - song,Xeno-canto,https://www.xeno-canto.org/507803,https://xeno-canto.org/507803/download,"Chele La, Haa",Rolf A. de By,B
Alpine Chough,1,Alpine Chough - call,Xeno-canto,https://www.xeno-canto.org/975054,https://xeno-canto.org/975054/download,"Çukurbağ, Çamardı, Niğde",András Schmidt,A
Alpine Chough,2,Alpine Chough - flight call,Xeno-canto,https://www.xeno-canto.org/972217,https://xeno-canto.org/972217/download,"Kayadibi, Pütürge, Malatya",Manuel Oudard,A
Alpine Chough,3,Alpine Chough - call,Xeno-canto,https://www.xeno-canto.org/962380,https://xeno-canto.org/962380/download,"Gimillan, near Cogne, Valle d'Aosta",Daniele Baroni,A
Common Waxbill,1,"Common Waxbill - song, subsong, atypical song",Xeno-canto,https://www.xeno-canto.org/998110,https://xeno-canto.org/998110/download,"Xinzo, Brión, A Coruña, Galicia",Jacobo Ramil Millarengo,A
Common Waxbill,2,Common Waxbill - call,Xeno-canto,https://www.xeno-canto.org/986807,https://xeno-canto.org/986807/download,"Alt Empordà (near  Sant Pere Pescador), Girona, Catalunya",Christian Kerihuel,A
Common Waxbill,3,Common Waxbill - call,Xeno-canto,https://www.xeno-canto.org/927211,https://xeno-canto.org/927211/download,"Estuário do Âncora, Caminha, Viana do Castelo",Jorge Leitão,A
